participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.player_role,player.player_id_in_role,player.matching_group_id,player.price1_offer,player.price2_offer,player.price_choice,player.action_chosen,player.price_paid,player.interaction,player.cq_q1,player.cq_q2,player.cq_q3,player.cq_q4,player.player_b_type,player.revenue,player.round_payoff,player.total_payoff_points,player.total_payoff_euros,player.participation_fee,player.total_payment,player.partner_price1,player.partner_price2,player.partner_interaction,player.partner_action,player.partner_price_paid,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,7i15bv57,,0,0,68,,,,0,,,0.0,1,,0.0,A,A1,1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,3,1,yi2ntbv4,,,,,1
2,tj6d7rea,,0,0,68,,,,0,,,0.0,1,,0.0,A,A2,1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,4,1,yi2ntbv4,,,,,1
3,set238gu,,0,0,68,,,,0,,,0.0,1,,0.0,A,A3,1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,2,1,yi2ntbv4,,,,,1
4,jlwmrbum,,0,0,68,,,,0,,,0.0,1,,0.0,A,A4,1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,1,1,yi2ntbv4,,,,,1
5,1h49w6dv,,0,0,68,,,,0,,,0.0,2,,0.0,B,B1,1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,4,1,yi2ntbv4,,,,,1
6,te0xlt89,,0,0,68,,,,0,,,0.0,2,,0.0,B,B2,1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,3,1,yi2ntbv4,,,,,1
7,pfj31wxd,,0,0,68,,,,0,,,0.0,2,,0.0,B,B3,1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,2,1,yi2ntbv4,,,,,1
8,9p6auc39,,0,0,68,,,,0,,,0.0,2,,0.0,B,B4,1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,1,1,yi2ntbv4,,,,,1
9,l2xptvik,,0,0,68,,,,0,,,0.0,1,,0.0,A,A1,2,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,6,1,yi2ntbv4,,,,,1
10,ejjv3emn,,0,0,68,,,,0,,,0.0,1,,0.0,A,A2,2,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,7,1,yi2ntbv4,,,,,1
11,howanetb,,0,0,68,,,,0,,,0.0,1,,0.0,A,A3,2,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,5,1,yi2ntbv4,,,,,1
12,2qcn7lg2,,0,0,68,,,,0,,,0.0,1,,0.0,A,A4,2,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,8,1,yi2ntbv4,,,,,1
13,7h888f0f,,0,0,68,,,,0,,,0.0,2,,0.0,B,B1,2,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,5,1,yi2ntbv4,,,,,1
14,6i9x94lh,,0,0,68,,,,0,,,0.0,2,,0.0,B,B2,2,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,6,1,yi2ntbv4,,,,,1
15,0z4884q6,,0,0,68,,,,0,,,0.0,2,,0.0,B,B3,2,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,8,1,yi2ntbv4,,,,,1
16,p57eezjz,,0,0,68,,,,0,,,0.0,2,,0.0,B,B4,2,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,7,1,yi2ntbv4,,,,,1
